Company Size,Staffing Option,Pct,,,,
<20 Employees,IT Manager, 0.23 ,,,,
<20 Employees,IT Staff, 0.08 ,,,,
<20 Employees,Outsource, 0.38 ,,,,
<20 Employees,Don't Manage, 0.31 ,,,,
20-49 Employees,IT Manager, 0.31 ,,,,
20-49 Employees,IT Staff, 0.19 ,,,,
20-49 Employees,Outsource, 0.43 ,,,,
20-49 Employees,Don't Manage, 0.07 ,,,,
50-99 Employees,IT Manager, 0.35 ,,,,
50-99 Employees,IT Staff, 0.23 ,,,,
50-99 Employees,Outsource, 0.37 ,,,,
50-99 Employees,Don't Manage, 0.05 ,,,,
100+ Employees,IT Manager, 0.25 ,,,,
100+ Employees,IT Staff, 0.58 ,,,,
100+ Employees,Outsource, 0.15 ,,,,
100+ Employees,Don't Manage, 0.02 ,,,,
